,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3,
, United States (All Students) ,1547990,47,516,501,492,1017,1509,
, North Carolina (All Students) ,57841,63,511,497,477,1008,1485,
, NC School Of Science & Math ,314, NA ,693,663,645,1356,2001,
, NC School Of The Arts ,108, NA ,569,594,568,1163,1731,
10, Alamance-Burlington Schools,716,57.3,508,477,460,985,1445,
303, Alamance-Burlington Mid Colleg ,1,6.7,*,*,*,*,*,
324, Eastern Alamance High ,122,65.2,520,476,455,996,1451,
348, Graham High ,65,45.8,440,422,407,862,1269,
360, Hugh M Cummings High ,59,38.6,459,404,403,863,1266,
388, Southern High ,128,50.4,505,489,462,994,1456,
396, Walter M Williams High ,194,72.1,527,497,482,1024,1506,
400, Western Alamance High ,147,64.5,526,494,480,1020,1500,
01B , River Mill Academy ,21,80.8,500,469,471,969,1440,
01C , Clover Garden ,14,87.5,469,425,423,894,1317,
01D , The Hawbridge School ,7,35,510,571,543,1081,1624,
20, Alexander County Schools,121,36.8,507,476,467,983,1450,
302, Alexander Central High ,121,36.8,507,476,467,983,1450,
30, Alleghany County Sch ,47,41.2,501,476,455,977,1432,
304, Alleghany High ,47,41.2,501,476,455,977,1432,
40, Anson County Schools ,127,55,431,425,413,856,1269,
304, Anson Early College High ,31,86.1,460,481,456,941,1397,
306, Anson High ,96,54.5,421,407,399,828,1227,
50, Ashe County Schools ,103,57.9,540,500,472,1040,1512,
302, Ashe County High ,103,57.9,540,500,472,1040,1512,
60, Avery County Schools ,74,46.5,515,504,475,1019,1494,
302, Avery County High ,74,46.5,515,504,475,1019,1494,
06B , Crossnore Academy ,1,11.1,*,*,*,*,*,
70, Beaufort County Schools ,206,46.5,497,469,438,966,1404,
330, Northside High ,42,39.3,531,487,455,1018,1473,
339, Southside High ,47,47,475,436,410,911,1321,
342, Washington High ,117,52.2,493,476,443,969,1412,
80, Bertie County Schools,104,54.7,419,410,376,829,1205,
312, Bertie High ,104,54.7,419,410,376,829,1205,
90, Bladen County Schools,152,60.3,445,427,412,872,1284,
330, East Bladen High ,85,65.9,435,415,404,850,1254,
368, West Bladen High ,67,56.3,458,443,423,901,1324,
100, Brunswick County Schools ,261,36.6,513,488,472,1001,1473,
307, Brunswick County Early College ,17,34,558,559,533,1117,1650,
326, North Brunswick High ,59,33.1,468,437,430,905,1335,
334, South Brunswick High ,84,36.2,519,511,498,1030,1528,
348, West Brunswick High ,101,41.7,526,487,465,1013,1478,
110, Buncombe County Schools ,820,54.8,549,524,499,1073,1572,
304, A C Reynolds High ,180,61.2,559,535,503,1094,1597,
322, Buncombe County Early College ,13,35.1,531,576,569,1107,1676,
323, Buncombe County Middle College ,8,17,513,530,511,1043,1554,
336, Charles D Owen High ,94,59.5,547,518,487,1065,1552,
340, Clyde A Erwin High ,75,43.1,525,497,479,1022,1501,
352, Enka High ,117,51.5,525,497,470,1022,1492,
380, North Buncombe High ,119,56.1,556,515,483,1071,1554,
416, T C Roberson High ,214,68.4,563,544,529,1107,1636,
111, Asheville City Schools,149,70,543,562,529,1105,1634,
302, Asheville High ,143,73.7,543,563,529,1106,1635,
700, Asheville High Of Inq & Life S ,6,31.6,550,547,540,1097,1637,
120, Burke County Schools ,367,40.5,521,498,474,1019,1493,
310, Burke Middle College ,34,54,501,479,461,980,1441,
314, East Burke High ,78,38,524,481,463,1005,1468,
318, Freedom High ,95,43.4,517,512,481,1029,1510,
346, Jimmy C. Draughn High ,52,39.1,530,503,477,1033,1510,
370, Robert L. Patton High School ,108,45.8,523,502,478,1025,1503,
130, Cabarrus County Schools,908,58.5,530,508,489,1038,1527,
310, Central Cabarrus High ,89,50.6,519,486,464,1005,1469,
314, Concord High ,101,45.7,516,498,484,1014,1498,
316, Jay M Robinson High ,193,61.5,542,524,510,1066,1576,
324, Mount Pleasant High ,90,47.1,520,495,464,1015,1479,
326, N W Cabarrus High ,226,68.7,524,505,484,1029,1513,
332, Hickory Ridge High ,199,70.3,545,516,503,1061,1564,
333, Cabarrus County Performance Le ,10,27.8,489,501,459,990,1449,
132, Kannapolis City Schools,95,40.8,501,467,459,968,1427,
304, A L Brown High ,95,40.8,501,467,459,968,1427,
140, Caldwell County Schools,337,41.1,512,482,463,994,1457,
305, Caldwell Career Cen Mid. Coll. ,10,31.3,467,440,430,907,1337,
309, Caldwell Early College ,2,3.1,*,*,*,*,*,
348, Hibriten High ,113,53.6,517,502,478,1019,1497,
386, South Caldwell High ,132,41.6,531,489,480,1020,1500,
390, West Caldwell High ,80,41.5,478,448,419,926,1345,
150, Camden County Schools,79,63.2,478,452,438,930,1368,
304, Camden County High ,51,65.4,480,450,433,930,1363,
700, Cam Tech High ,28,59.6,475,456,447,931,1378,
160, Carteret County Schools,300,56.2,532,525,493,1057,1550,
313, East Carteret High ,53,43.8,506,518,482,1024,1506,
314, Croatan High ,123,68.3,540,536,507,1076,1583,
344, West Carteret High ,124,53.2,536,517,483,1053,1536,
16A , Cape Lookout Marine ,2,5.7,*,*,*,*,*,
170, Caswell County Schools,105,50.7,462,448,422,910,1332,
316, Bartlett Yancey High ,105,50.7,462,448,422,910,1332,
180, Catawba County Schools,609,52.9,519,491,464,1010,1474,
308, Bandys High ,105,48.2,509,484,456,993,1449,
320, Bunker Hill High ,71,42.8,485,461,429,946,1375,
325, Catawba Valley Early Coll Hi ,61,91,529,513,486,1042,1528,
340, Fred T Foard High ,127,45.8,522,499,470,1021,1491,
348, Maiden High ,76,47.2,530,481,449,1011,1460,
376, Saint Stephens High ,169,65.5,530,499,479,1029,1508,
181, Hickory City Schools ,158,61.2,532,511,500,1043,1543,
318, Catawba Valley High ,2,40,*,*,*,*,*,
322, Hickory High ,156,61.9,533,512,502,1045,1547,
182, Newton Conover City Schools,110,57.9,486,461,445,947,1392,
316, Newton-Conover High ,97,61.8,494,465,450,959,1409,
700, Newton-Conover Health/Sci ,13,76.5,426,428,405,854,1259,
190, Chatham County Schools ,281,66.9,490,475,459,965,1424,
310, Sage ,1,20,*,*,*,*,*,
316, Chatham Central High ,69,67,489,464,449,953,1402,
336, Jordan Matthews High ,64,48.1,476,445,436,921,1357,
342, Northwood High ,147,82.1,498,495,475,993,1468,
19B , Woods Charter ,42,95.5,570,575,542,1145,1687,
200, Cherokee County Schools,144,58.5,492,476,456,968,1424,
308, Andrews High ,28,59.6,453,450,424,903,1327,
314, Hiwassee Dam High ,22,50,501,478,450,979,1429,
328, Murphy High ,78,61.9,500,484,473,984,1457,
350, Tri-County Early College High ,16,76.2,508,479,439,987,1426,
210, Edenton-Chowan Schools,84,55.3,486,479,462,965,1427,
